turns,white_rating,black_rating,winner
13,1500,1191,white
16,1322,1261,black
61,1496,1500,white
61,1439,1454,white
95,1523,1469,white
5,1250,1002,draw
33,1520,1423,white
9,1413,2108,black
66,1439,1392,black
119,1381,1209,white
39,1381,1272,white
38,1381,1867,black
60,1381,1936,black
31,1381,1607,black
31,1094,1141,white
43,1141,1094,black
52,1094,1141,black
66,1141,1094,black
101,1094,1300,black
25,1500,1094,white
14,1094,1676,black
3,1094,1068,white
17,1500,1094,white
36,1307,1106,white
13,1113,1423,black
69,1078,1219,white
43,1825,1079,white
54,1328,1038,black
53,1056,1156,black
66,1077,1148,black
64,1358,1036,black
64,1200,1002,black
54,1203,1019,white
21,1019,1500,black
11,1422,975,white
19,976,1832,black
28,1569,978,white
22,978,1500,black
37,1500,978,white
34,2449,978,white
32,1207,978,draw
71,1241,978,black
30,1500,978,white
66,2443,978,white
41,1500,978,white
49,1500,978,white
3,978,1500,black
7,1343,978,white
35,2436,978,white
41,2436,978,white
5,978,1500,black
7,1500,978,white
53,978,1500,white
36,1500,978,black
8,1521,1162,white
3,1407,1500,white
28,1492,1458,white
30,1414,1442,black
44,1457,1294,black
29,1525,1466,white
37,1207,1579,black
49,1567,1573,white
32,1578,1605,black
25,1939,1581,white
40,1618,1568,black
39,1755,1574,white
57,1561,1596,white
78,1500,1554,black
61,1544,1461,white
44,1563,1335,black
62,1579,1470,black
87,1617,1590,white
54,1207,1588,black
54,1595,1547,black
37,1855,1599,white
50,1589,1547,white
131,1571,1728,white
48,1720,1579,white
47,1579,2105,black
64,1768,1560,black
61,1552,1436,white
57,1536,1667,white
51,1521,1549,white
58,1251,1545,black
71,1537,1408,white
114,1522,1512,white
39,1602,1532,white
20,1543,1593,black
48,1556,1539,black
34,1409,1548,black
51,1539,1418,white
69,1603,1550,white
28,1542,1399,white
62,1546,1877,black
62,1134,1535,black
85,1513,1784,white
38,1501,1445,white
14,1500,1500,white
113,1745,1714,draw
62,1734,1748,white
101,1942,1739,white
75,1724,1855,white
135,1951,1729,white
81,1726,1388,white
46,1735,1806,black
70,1597,1728,black
39,1743,1738,white
91,1721,1750,white
137,1746,1487,white
46,1744,1735,black
18,1749,1631,black
28,1769,1396,black
40,1795,1760,black
111,1729,1795,white
54,1795,1784,black
33,1770,1872,white
90,1783,1721,black
90,1884,1768,black
40,1756,1756,black
49,1724,1958,white
50,2036,1706,black
59,1706,925,white
26,1244,1219,black
23,1215,921,white
118,1350,1201,black
66,1210,1280,black
120,1139,1212,draw
36,1220,1341,black
26,1234,1359,black
62,1275,1236,black
37,1433,1282,white
24,1132,1276,black
47,1276,1308,white
37,1228,1266,black
24,1273,1409,black
9,1338,1277,white
47,1263,1336,white
85,1316,1273,white
39,1248,1253,white
58,1335,1233,black
95,1223,1189,white
2,1443,1204,black
97,1227,1216,white
12,1215,1219,draw
30,1227,1227,white
43,1550,1225,white
11,1325,1234,white
72,1212,1221,black
156,1226,1478,black
18,1228,1626,black
77,1191,1228,white
32,1422,1210,black
35,1186,1223,white
85,1212,1212,white
50,1228,1343,black
111,1865,1862,white
65,1852,1852,white
73,1833,1863,white
125,1851,1918,white
76,1861,1844,black
65,1853,1774,white
41,1910,1862,white
59,1851,1890,white
70,1860,1840,black
34,1828,1848,white
69,1855,1858,white
63,1847,1895,white
107,1885,1856,white
58,1847,1802,white
34,1847,1856,black
100,1840,1837,black
80,1848,1806,black
44,1860,1820,black
40,1854,1849,black
105,1895,1859,white
50,1866,1965,black
144,1866,1843,draw
81,1835,1866,black
69,1877,1860,black
77,1849,1874,white
158,1835,1865,black
107,1866,1835,draw
117,1856,1829,white
44,1845,1846,white
40,1834,1835,black
59,1846,1845,white
110,1845,1917,black
30,1858,1790,black
54,1871,1847,black
69,1846,1869,black
178,1843,1836,black
136,1800,1826,black
124,1283,1267,black
96,1290,1270,black
53,1331,1281,white
39,1304,1292,white
10,1305,1293,black
51,1308,1317,white
18,1296,1305,black
106,968,1305,black
38,1293,1466,black
59,1500,1299,white
111,1288,1232,white
28,1289,2108,black
101,1431,1289,white
15,1806,1289,white
42,1289,1311,white
118,1431,1289,black
34,1289,1484,black
60,1289,1810,black
66,1806,1289,black
21,1289,1500,white
73,1409,1297,white
159,1280,1485,white
74,1280,1211,white
28,1211,1280,black
112,1281,1765,black
104,1288,1454,black
40,1560,1270,black
44,1274,1534,black
150,1259,1663,draw
60,1614,1238,black
37,1221,1417,white
88,1222,1732,black
113,1232,1234,white
55,1240,1219,white
135,1590,1600,white
137,1568,1617,draw
97,1500,1358,white
33,1384,1325,black
29,1384,1265,black
55,1384,1950,black
91,1377,1249,white
53,1375,1389,white
49,1378,1361,white
48,1261,1371,black
20,1380,1429,black
87,1369,1368,white
11,1290,1371,white
110,1372,1326,draw
24,1361,1383,white
23,1217,1399,white
81,1387,1447,white
34,1474,1387,black
103,1377,1351,white
29,1389,1339,black
22,1389,1400,black
38,1849,1389,white
46,1395,1378,black
23,1370,1257,white
31,1360,1332,white
51,1311,1360,white
87,1714,1360,white
31,1354,1217,white
38,1245,1346,black
43,1346,1099,white
105,1336,1287,white
87,1580,1555,white
36,1555,1580,black
38,1649,1547,black
110,1426,1527,black
48,1557,1547,black
95,1557,1607,white
70,1607,1557,black
42,1557,1632,white
177,1535,1609,white
114,1713,1558,black
57,1497,1730,white
57,1437,1552,white
82,1516,1552,draw
29,1513,1456,white
70,1355,1478,black
97,1638,1614,white
99,1613,1934,white
74,1865,1613,black
48,1776,1587,black
77,1568,1593,white
80,1605,1546,black
35,1518,1709,white
33,1728,1527,white
87,1515,1379,white
40,1538,1501,black
54,1511,1516,black
67,1464,1495,black
21,1470,1475,white
14,1490,1440,black
71,1611,1974,white
72,1611,1945,black
62,1584,1611,black
48,1942,1611,black
6,1217,1611,black
69,1611,2059,draw
72,1611,1478,white
40,1486,1552,black
29,1453,1496,white
44,1340,1326,white
59,1532,1500,white
115,1560,1557,white
70,1571,1577,black
36,1580,1617,black
83,1531,1593,white
99,1449,1597,draw
43,1743,1604,white
89,1604,1614,white
96,1550,1605,black
116,1630,1605,black
78,1475,1605,black
77,1605,1475,white
70,1475,1605,black
27,1570,1605,white
102,1605,1500,black
21,1500,1605,white
33,1605,1500,white
74,1513,1605,black
65,1790,1874,white
81,1864,1805,white
45,1496,1861,black
52,1851,1853,white
51,1861,1863,white
48,1618,1609,draw
20,1620,1607,black
50,1621,1496,black
98,1633,1581,black
106,1623,1623,black
19,1612,1614,white
22,1605,1624,white
114,1693,1621,draw
69,1631,1684,black
34,1636,1619,black
40,1613,1617,black
108,1627,1495,black
27,1480,1643,white
63,1631,1652,white
31,1687,1641,white
71,1630,1638,white
92,1414,1624,black
47,1619,1419,white
56,1629,1659,black
48,1649,1639,white
124,1677,1627,black
49,1705,1636,white
64,1647,1635,black
29,1637,1627,white
45,1626,1631,white
96,1602,1615,black
92,1634,1603,black
40,1611,1591,black
123,1579,1623,white
129,1995,1581,white
120,1589,1569,black
71,1570,1555,draw
97,1559,1557,white
60,1546,1571,white
57,1550,1567,white
38,1560,1419,white
111,1840,1564,white
119,1660,1549,black
33,1534,1678,white
32,1789,1538,white
96,1841,1921,black
92,1926,1737,draw
64,1629,1887,black
10,1860,1712,black
85,1500,1568,white
40,1780,2132,black
58,966,1124,black
26,884,951,black
4,945,1070,black
118,971,1149,black
11,1238,985,white
